,mixed_file,orig_file,noise_file,snr,mixed_spec,orig_spec,noise_spec
75.wav,./audio/mixed/75.wav,./audio/target/e4-finger-tune_split_4.wav,./audio/noise/electric_solo_split_83.wav,1,./audio/mixed_specs/75.wav.npy,./audio/target_specs/e4-finger-tune_split_4.wav.npy,./audio/noise_specs/electric_solo_split_83.wav.npy
76.wav,./audio/mixed/76.wav,./audio/target/e3-strum-100_split_9.wav,./audio/noise/choir_christie_split_15.wav,1,./audio/mixed_specs/76.wav.npy,./audio/target_specs/e3-strum-100_split_9.wav.npy,./audio/noise_specs/choir_christie_split_15.wav.npy
77.wav,./audio/mixed/77.wav,./audio/target/g2-strum-100_split_2.wav,./audio/noise/5-212734-A-17_split_1.wav,1,./audio/mixed_specs/77.wav.npy,./audio/target_specs/g2-strum-100_split_2.wav.npy,./audio/noise_specs/5-212734-A-17_split_1.wav.npy
78.wav,./audio/mixed/78.wav,./audio/target/b3-finger-tune_split_22.wav,./audio/noise/bar_music_split_63.wav,2,./audio/mixed_specs/78.wav.npy,./audio/target_specs/b3-finger-tune_split_22.wav.npy,./audio/noise_specs/bar_music_split_63.wav.npy
79.wav,./audio/mixed/79.wav,./audio/target/b2-strum-100_1_split_1.wav,./audio/noise/bygone_ep_split_22.wav,1,./audio/mixed_specs/79.wav.npy,./audio/target_specs/b2-strum-100_1_split_1.wav.npy,./audio/noise_specs/bygone_ep_split_22.wav.npy
80.wav,./audio/mixed/80.wav,./audio/target/g2-finger-120_split_2.wav,./audio/noise/5-199284-B-45_split_2.wav,2,./audio/mixed_specs/80.wav.npy,./audio/target_specs/g2-finger-120_split_2.wav.npy,./audio/noise_specs/5-199284-B-45_split_2.wav.npy
81.wav,./audio/mixed/81.wav,./audio/target/a2-strum-tune_split_3.wav,./audio/noise/1-47819-A-5_split_1.wav,1,./audio/mixed_specs/81.wav.npy,./audio/target_specs/a2-strum-tune_split_3.wav.npy,./audio/noise_specs/1-47819-A-5_split_1.wav.npy
82.wav,./audio/mixed/82.wav,./audio/target/a2-strum-tune_split_2.wav,./audio/noise/1-51805-A-33_split_1.wav,3,./audio/mixed_specs/82.wav.npy,./audio/target_specs/a2-strum-tune_split_2.wav.npy,./audio/noise_specs/1-51805-A-33_split_1.wav.npy
83.wav,./audio/mixed/83.wav,./audio/target/g2-finger-120_split_3.wav,./audio/noise/fs_piano_split_3.wav,2,./audio/mixed_specs/83.wav.npy,./audio/target_specs/g2-finger-120_split_3.wav.npy,./audio/noise_specs/fs_piano_split_3.wav.npy
84.wav,./audio/mixed/84.wav,./audio/target/e3-strum-100_split_8.wav,./audio/noise/loreta_organ_split_95.wav,0,./audio/mixed_specs/84.wav.npy,./audio/target_specs/e3-strum-100_split_8.wav.npy,./audio/noise_specs/loreta_organ_split_95.wav.npy
85.wav,./audio/mixed/85.wav,./audio/target/b3-finger-tune_split_23.wav,./audio/noise/bygone_beat_split_17.wav,2,./audio/mixed_specs/85.wav.npy,./audio/target_specs/b3-finger-tune_split_23.wav.npy,./audio/noise_specs/bygone_beat_split_17.wav.npy
86.wav,./audio/mixed/86.wav,./audio/target/g2-strum-100_split_3.wav,./audio/noise/f_vox_split_6.wav,2,./audio/mixed_specs/86.wav.npy,./audio/target_specs/g2-strum-100_split_3.wav.npy,./audio/noise_specs/f_vox_split_6.wav.npy
87.wav,./audio/mixed/87.wav,./audio/target/e4-finger-tune_split_5.wav,./audio/noise/1-25781-A-48_split_1.wav,3,./audio/mixed_specs/87.wav.npy,./audio/target_specs/e4-finger-tune_split_5.wav.npy,./audio/noise_specs/1-25781-A-48_split_1.wav.npy
88.wav,./audio/mixed/88.wav,./audio/target/d3-strum-tune_split_15.wav,./audio/noise/walk_jazz_split_22.wav,1,./audio/mixed_specs/88.wav.npy,./audio/target_specs/d3-strum-tune_split_15.wav.npy,./audio/noise_specs/walk_jazz_split_22.wav.npy
89.wav,./audio/mixed/89.wav,./audio/target/d2-finger-120_split_16.wav,./audio/noise/5-249748-A-28_split_2.wav,1,./audio/mixed_specs/89.wav.npy,./audio/target_specs/d2-finger-120_split_16.wav.npy,./audio/noise_specs/5-249748-A-28_split_2.wav.npy
90.wav,./audio/mixed/90.wav,./audio/target/a2-strum2-tune_split_11.wav,./audio/noise/electric_solo_split_42.wav,3,./audio/mixed_specs/90.wav.npy,./audio/target_specs/a2-strum2-tune_split_11.wav.npy,./audio/noise_specs/electric_solo_split_42.wav.npy
91.wav,./audio/mixed/91.wav,./audio/target/a1-strum-100_1_split_25.wav,./audio/noise/5-260432-A-39_split_1.wav,3,./audio/mixed_specs/91.wav.npy,./audio/target_specs/a1-strum-100_1_split_25.wav.npy,./audio/noise_specs/5-260432-A-39_split_1.wav.npy
92.wav,./audio/mixed/92.wav,./audio/target/b2-strum-120_1_split_10.wav,./audio/noise/2-82071-A-27_split_2.wav,3,./audio/mixed_specs/92.wav.npy,./audio/target_specs/b2-strum-120_1_split_10.wav.npy,./audio/noise_specs/2-82071-A-27_split_2.wav.npy
93.wav,./audio/mixed/93.wav,./audio/target/d2-strum-100_split_18.wav,./audio/noise/1-18527-A-44_split_2.wav,0,./audio/mixed_specs/93.wav.npy,./audio/target_specs/d2-strum-100_split_18.wav.npy,./audio/noise_specs/1-18527-A-44_split_2.wav.npy
94.wav,./audio/mixed/94.wav,./audio/target/e3-pick-144_split_4.wav,./audio/noise/soft_static_split_2.wav,4,./audio/mixed_specs/94.wav.npy,./audio/target_specs/e3-pick-144_split_4.wav.npy,./audio/noise_specs/soft_static_split_2.wav.npy
95.wav,./audio/mixed/95.wav,./audio/target/b3-strum2-tune_split_4.wav,./audio/noise/string_drum_split_3.wav,0,./audio/mixed_specs/95.wav.npy,./audio/target_specs/b3-strum2-tune_split_4.wav.npy,./audio/noise_specs/string_drum_split_3.wav.npy
96.wav,./audio/mixed/96.wav,./audio/target/e3-finger-120_split_20.wav,./audio/noise/classical_piano_split_74.wav,4,./audio/mixed_specs/96.wav.npy,./audio/target_specs/e3-finger-120_split_20.wav.npy,./audio/noise_specs/classical_piano_split_74.wav.npy
97.wav,./audio/mixed/97.wav,./audio/target/d2-strum-120_split_9.wav,./audio/noise/5-253101-B-49_split_1.wav,4,./audio/mixed_specs/97.wav.npy,./audio/target_specs/d2-strum-120_split_9.wav.npy,./audio/noise_specs/5-253101-B-49_split_1.wav.npy
98.wav,./audio/mixed/98.wav,./audio/target/d3-strum-tune_split_29.wav,./audio/noise/practiceroom_split_8.wav,3,./audio/mixed_specs/98.wav.npy,./audio/target_specs/d3-strum-tune_split_29.wav.npy,./audio/noise_specs/practiceroom_split_8.wav.npy
99.wav,./audio/mixed/99.wav,./audio/target/d2-strum-100_split_30.wav,./audio/noise/5-263831-B-6_split_2.wav,2,./audio/mixed_specs/99.wav.npy,./audio/target_specs/d2-strum-100_split_30.wav.npy,./audio/noise_specs/5-263831-B-6_split_2.wav.npy
100.wav,./audio/mixed/100.wav,./audio/target/a1-strum-100_1_split_19.wav,./audio/noise/soft_static_split_10.wav,3,./audio/mixed_specs/100.wav.npy,./audio/target_specs/a1-strum-100_1_split_19.wav.npy,./audio/noise_specs/soft_static_split_10.wav.npy
